address,lat,lon
"ул. Генерации, д. 85",55.693191,37.726558
"ул. Генерации, д. 86",55.877822,37.61223
"ул. Генерации, д. 87",55.789847,37.884722
"ул. Генерации, д. 88",55.588854,37.758152
"ул. Генерации, д. 89",55.790773,37.578338
"ул. Генерации, д. 90",55.776201,37.653526
"ул. Генерации, д. 91",55.757234,37.315462
"ул. Генерации, д. 92",55.887188,37.478604
"ул. Генерации, д. 93",55.811866,37.892888
"ул. Генерации, д. 94",55.546074,37.603706
"ул. Генерации, д. 95",55.813093,37.412462
"ул. Генерации, д. 96",55.554698,37.736643
"ул. Генерации, д. 97",55.600869,37.767582
"ул. Генерации, д. 98",55.503835,37.536831
"ул. Генерации, д. 99",55.888373,37.312541
"ул. Генерации, д. 100",55.673379,37.612307
"ул. Генерации, д. 101",55.672447,37.84382
"ул. Генерации, д. 102",55.810212,37.821455
"ул. Генерации, д. 103",55.8535,37.637306
"ул. Генерации, д. 104",55.67272,37.421234
"ул. Генерации, д. 105",55.684317,37.309514
"ул. Генерации, д. 106",55.773599,37.395585
"ул. Генерации, д. 107",55.75437,37.651092
"ул. Генерации, д. 108",55.558828,37.604535
"ул. Генерации, д. 109",55.777849,37.456773
"ул. Генерации, д. 110",55.797544,37.704395
"ул. Генерации, д. 111",55.677054,37.334115
"ул. Генерации, д. 112",55.55962,37.827501
"ул. Генерации, д. 113",55.708863,37.526292
"ул. Генерации, д. 114",55.81411,37.37557
"ул. Генерации, д. 115",55.739154,37.483844
"ул. Генерации, д. 116",55.652056,37.675309
"ул. Генерации, д. 117",55.714697,37.313201
"ул. Генерации, д. 118",55.611357,37.558706
"ул. Генерации, д. 119",55.827673,37.708018
"ул. Генерации, д. 120",55.792904,37.701011
"ул. Генерации, д. 121",55.751334,37.359479
"ул. Генерации, д. 122",55.733729,37.837288
"ул. Генерации, д. 123",55.618087,37.571396
"ул. Генерации, д. 124",55.538175,37.522049
"ул. Генерации, д. 125",55.886881,37.4131
"ул. Генерации, д. 126",55.857579,37.8917
"ул. Генерации, д. 127",55.733407,37.622219
"ул. Генерации, д. 128",55.834281,37.855659
"ул. Генерации, д. 129",55.550949,37.658287
"ул. Генерации, д. 130",55.878157,37.793789
"ул. Генерации, д. 131",55.594718,37.509997
"ул. Генерации, д. 132",55.685988,37.771283
"ул. Генерации, д. 133",55.587661,37.409203
"ул. Генерации, д. 134",55.653723,37.50508
"ул. Генерации, д. 135",55.506139,37.731535
"ул. Генерации, д. 136",55.798079,37.842021
"ул. Генерации, д. 137",55.581347,37.375973
"ул. Генерации, д. 138",55.500523,37.308787
"ул. Генерации, д. 139",55.536062,37.355463
"ул. Генерации, д. 140",55.540755,37.524441
"ул. Генерации, д. 141",55.751509,37.79645
"ул. Генерации, д. 142",55.530002,37.784026
"ул. Генерации, д. 143",55.602836,37.799735
"ул. Генерации, д. 144",55.630311,37.652383
"ул. Генерации, д. 145",55.593584,37.419592
"ул. Генерации, д. 146",55.813088,37.335989
"ул. Генерации, д. 147",55.724314,37.389397
"ул. Генерации, д. 148",55.777136,37.403932
"ул. Генерации, д. 149",55.562745,37.709196
"ул. Генерации, д. 150",55.679376,37.513278
"ул. Генерации, д. 151",55.777868,37.691586
"ул. Генерации, д. 152",55.696516,37.851157
"ул. Генерации, д. 153",55.558944,37.6675
"ул. Генерации, д. 154",55.704292,37.737638
"ул. Генерации, д. 155",55.862538,37.450022
"ул. Генерации, д. 156",55.530266,37.410936
"ул. Генерации, д. 157",55.83473,37.860204
"ул. Генерации, д. 158",55.678393,37.861451
"ул. Генерации, д. 159",55.854775,37.85139
"ул. Генерации, д. 160",55.80915,37.447961
"ул. Генерации, д. 161",55.722036,37.525897
"ул. Генерации, д. 162",55.776897,37.861678
"ул. Генерации, д. 163",55.773923,37.878279
"ул. Генерации, д. 164",55.892699,37.85283
"ул. Генерации, д. 165",55.769334,37.623408
"ул. Генерации, д. 166",55.766677,37.852998
"ул. Генерации, д. 167",55.614493,37.442183
"ул. Генерации, д. 168",55.696665,37.612417
"ул. Генерации, д. 169",55.898519,37.538607
"ул. Генерации, д. 170",55.760481,37.774098
"ул. Генерации, д. 171",55.7064,37.679759
"ул. Генерации, д. 172",55.865949,37.68008
"ул. Генерации, д. 173",55.755997,37.655062
"ул. Генерации, д. 174",55.774561,37.449441
"ул. Генерации, д. 175",55.62832,37.481823
"ул. Генерации, д. 176",55.635679,37.777357
"ул. Генерации, д. 177",55.594922,37.427562
"ул. Генерации, д. 178",55.572449,37.708492
"ул. Генерации, д. 179",55.593328,37.380848
"ул. Генерации, д. 180",55.786927,37.483681
"ул. Генерации, д. 181",55.773076,37.712103
"ул. Генерации, д. 182",55.749831,37.674247
"ул. Генерации, д. 183",55.779608,37.386185
"ул. Генерации, д. 184",55.61778,37.369241
"ул. Генерации, д. 185",55.776606,37.832624
"ул. Генерации, д. 186",55.774199,37.849141
"ул. Генерации, д. 187",55.748004,37.769599
"ул. Генерации, д. 188",55.869497,37.310541
"ул. Генерации, д. 189",55.871553,37.642434
"ул. Генерации, д. 190",55.624894,37.683407
"ул. Генерации, д. 191",55.733156,37.350117
"ул. Генерации, д. 192",55.869187,37.508869
"ул. Генерации, д. 193",55.641238,37.664958
"ул. Генерации, д. 194",55.797066,37.78043
"ул. Генерации, д. 195",55.668313,37.841272
"ул. Генерации, д. 196",55.87008,37.666571
"ул. Генерации, д. 197",55.759582,37.690305
"ул. Генерации, д. 198",55.860983,37.463257
"ул. Генерации, д. 199",55.705045,37.533184
"ул. Генерации, д. 200",55.614353,37.638816
"ул. Генерации, д. 201",55.594008,37.336008
"ул. Генерации, д. 202",55.868036,37.792998
"ул. Генерации, д. 203",55.848897,37.370487
"ул. Генерации, д. 204",55.656576,37.883606
"ул. Генерации, д. 205",55.727685,37.482841
"ул. Генерации, д. 206",55.820113,37.540788
"ул. Генерации, д. 207",55.840121,37.752263
"ул. Генерации, д. 208",55.827336,37.563415
"ул. Генерации, д. 209",55.574831,37.72449
"ул. Генерации, д. 210",55.732434,37.475832
"ул. Генерации, д. 211",55.768535,37.420166
"ул. Генерации, д. 212",55.645153,37.408475
"ул. Генерации, д. 213",55.77007,37.651056
"ул. Генерации, д. 214",55.773021,37.751628
"ул. Генерации, д. 215",55.833193,37.70813
"ул. Генерации, д. 216",55.548196,37.556687
"ул. Генерации, д. 217",55.807085,37.467333
"ул. Генерации, д. 218",55.823978,37.55396
"ул. Генерации, д. 219",55.594621,37.889612
"ул. Генерации, д. 220",55.531926,37.398675
"ул. Генерации, д. 221",55.757992,37.317386
"ул. Генерации, д. 222",55.551729,37.777976
"ул. Генерации, д. 223",55.880214,37.867844
"ул. Генерации, д. 224",55.624473,37.730775
"ул. Генерации, д. 225",55.823728,37.895666
"ул. Генерации, д. 226",55.500917,37.858656
"ул. Генерации, д. 227",55.840738,37.339846
"ул. Генерации, д. 228",55.612309,37.654048
"ул. Генерации, д. 229",55.872497,37.834774
"ул. Генерации, д. 230",55.74119,37.376021
"ул. Генерации, д. 231",55.710472,37.884668
"ул. Генерации, д. 232",55.805728,37.812071
"ул. Генерации, д. 233",55.529703,37.894858
"ул. Генерации, д. 234",55.782078,37.801629
"ул. Генерации, д. 235",55.587768,37.695737
"ул. Генерации, д. 236",55.73527,37.804303
"ул. Генерации, д. 237",55.740575,37.399951
"ул. Генерации, д. 238",55.703845,37.398164
"ул. Генерации, д. 239",55.741445,37.47511
"ул. Генерации, д. 240",55.589095,37.520332
"ул. Генерации, д. 241",55.610473,37.774273
"ул. Генерации, д. 242",55.878373,37.78418
"ул. Генерации, д. 243",55.646176,37.71389
"ул. Генерации, д. 244",55.638181,37.751474
"ул. Генерации, д. 245",55.672252,37.554387
"ул. Генерации, д. 246",55.824074,37.716283
"ул. Генерации, д. 247",55.873842,37.558634
"ул. Генерации, д. 248",55.604135,37.628319
"ул. Генерации, д. 249",55.571447,37.449847
"ул. Генерации, д. 250",55.872977,37.772585
"ул. Генерации, д. 251",55.657324,37.311333
"ул. Генерации, д. 252",55.709444,37.885774
"ул. Генерации, д. 253",55.803433,37.690404
"ул. Генерации, д. 254",55.767381,37.542393
"ул. Генерации, д. 255",55.770614,37.453536
"ул. Генерации, д. 256",55.829533,37.774872
"ул. Генерации, д. 257",55.571907,37.893039
"ул. Генерации, д. 258",55.609316,37.844004
"ул. Генерации, д. 259",55.843611,37.55595
"ул. Генерации, д. 260",55.780872,37.755821
"ул. Генерации, д. 261",55.674791,37.752006
"ул. Генерации, д. 262",55.625596,37.615255
"ул. Генерации, д. 263",55.837297,37.866634
"ул. Генерации, д. 264",55.737966,37.559528
"ул. Генерации, д. 265",55.564008,37.554275
"ул. Генерации, д. 266",55.697459,37.58667
"ул. Генерации, д. 267",55.54718,37.840022
"ул. Генерации, д. 268",55.645985,37.319731
"ул. Генерации, д. 269",55.617989,37.758261
"ул. Генерации, д. 270",55.629616,37.607987
"ул. Генерации, д. 271",55.712863,37.671996
"ул. Генерации, д. 272",55.849536,37.797836
"ул. Генерации, д. 273",55.865253,37.48667
"ул. Генерации, д. 274",55.750982,37.637316
"ул. Генерации, д. 275",55.668341,37.714184
"ул. Генерации, д. 276",55.504486,37.532017
"ул. Генерации, д. 277",55.523489,37.630313
"ул. Генерации, д. 278",55.531347,37.607611
"ул. Генерации, д. 279",55.83317,37.540622
"ул. Генерации, д. 280",55.759273,37.854047
"ул. Генерации, д. 281",55.710588,37.723821
"ул. Генерации, д. 282",55.562808,37.724709
"ул. Генерации, д. 283",55.726624,37.524593
"ул. Генерации, д. 284",55.592605,37.741722
"ул. Генерации, д. 285",55.516465,37.374633
"ул. Генерации, д. 286",55.840485,37.429826
"ул. Генерации, д. 287",55.563835,37.787481
"ул. Генерации, д. 288",55.643701,37.740979
"ул. Генерации, д. 289",55.517538,37.363094
"ул. Генерации, д. 290",55.892116,37.779709
"ул. Генерации, д. 291",55.504722,37.453026
"ул. Генерации, д. 292",55.810047,37.893805
"ул. Генерации, д. 293",55.5195,37.833661
"ул. Генерации, д. 294",55.790445,37.470023
"ул. Генерации, д. 295",55.659295,37.463154
"ул. Генерации, д. 296",55.653793,37.676351
"ул. Генерации, д. 297",55.883669,37.575534
"ул. Генерации, д. 298",55.724253,37.711095
"ул. Генерации, д. 299",55.805341,37.764899
"ул. Генерации, д. 300",55.728996,37.423061
"ул. Генерации, д. 301",55.522193,37.304105
"ул. Генерации, д. 302",55.89671,37.392036
"ул. Генерации, д. 303",55.549068,37.37697
"ул. Генерации, д. 304",55.54674,37.802596
"ул. Генерации, д. 305",55.756307,37.309513
"ул. Генерации, д. 306",55.865386,37.769433
"ул. Генерации, д. 307",55.655449,37.855816
"ул. Генерации, д. 308",55.700181,37.836886
"ул. Генерации, д. 309",55.628122,37.84565
"ул. Генерации, д. 310",55.877416,37.63421
"ул. Генерации, д. 311",55.606493,37.856408
"ул. Генерации, д. 312",55.626347,37.513529
"ул. Генерации, д. 313",55.543884,37.41864
"ул. Генерации, д. 314",55.817055,37.383684
"ул. Генерации, д. 315",55.828816,37.725459
"ул. Генерации, д. 316",55.76898,37.58482
"ул. Генерации, д. 317",55.548382,37.670766
"ул. Генерации, д. 318",55.818852,37.81485
"ул. Генерации, д. 319",55.800785,37.470945
"ул. Генерации, д. 320",55.80593,37.851704
"ул. Генерации, д. 321",55.884394,37.799732
"ул. Генерации, д. 322",55.533851,37.334218
"ул. Генерации, д. 323",55.801933,37.653045
"ул. Генерации, д. 324",55.895876,37.837058
"ул. Генерации, д. 325",55.805227,37.719651
"ул. Генерации, д. 326",55.542181,37.375432
"ул. Генерации, д. 327",55.566443,37.871996
"ул. Генерации, д. 328",55.567907,37.836709
"ул. Генерации, д. 329",55.675717,37.804698
"ул. Генерации, д. 330",55.637044,37.590272
"ул. Генерации, д. 331",55.666977,37.395556
"ул. Генерации, д. 332",55.748099,37.820475
"ул. Генерации, д. 333",55.672782,37.884761
"ул. Генерации, д. 334",55.738984,37.463364
"ул. Генерации, д. 335",55.811495,37.517351
"ул. Генерации, д. 336",55.880693,37.740784
"ул. Генерации, д. 337",55.888251,37.496228
"ул. Генерации, д. 338",55.529079,37.564136
"ул. Генерации, д. 339",55.681136,37.579029
"ул. Генерации, д. 340",55.874696,37.470645
"ул. Генерации, д. 341",55.543,37.74754
"ул. Генерации, д. 342",55.723163,37.455267
"ул. Генерации, д. 343",55.7472,37.519278
"ул. Генерации, д. 344",55.588166,37.696385
"ул. Генерации, д. 345",55.563097,37.818624
"ул. Генерации, д. 346",55.599023,37.751631
"ул. Генерации, д. 347",55.8808,37.757086
"ул. Генерации, д. 348",55.839388,37.62351
"ул. Генерации, д. 349",55.523421,37.503964
"ул. Генерации, д. 350",55.821036,37.700599
"ул. Генерации, д. 351",55.841825,37.466286
"ул. Генерации, д. 352",55.650445,37.394078
"ул. Генерации, д. 353",55.778157,37.451688
"ул. Генерации, д. 354",55.558704,37.538568
"ул. Генерации, д. 355",55.861335,37.758109
"ул. Генерации, д. 356",55.653416,37.839642
"ул. Генерации, д. 357",55.552268,37.774716
"ул. Генерации, д. 358",55.651432,37.70013
"ул. Генерации, д. 359",55.592767,37.580828
"ул. Генерации, д. 360",55.588685,37.346097
"ул. Генерации, д. 361",55.527766,37.846415
"ул. Генерации, д. 362",55.595125,37.80114
"ул. Генерации, д. 363",55.508123,37.370746
"ул. Генерации, д. 364",55.873035,37.433616
"ул. Генерации, д. 365",55.692782,37.483709
"ул. Генерации, д. 366",55.577658,37.493633
"ул. Генерации, д. 367",55.817137,37.416988
"ул. Генерации, д. 368",55.85557,37.486722
"ул. Генерации, д. 369",55.731616,37.717486
"ул. Генерации, д. 370",55.703267,37.83567
"ул. Генерации, д. 371",55.705124,37.627807
"ул. Генерации, д. 372",55.805865,37.458954
"ул. Генерации, д. 373",55.752886,37.552033
"ул. Генерации, д. 374",55.5699,37.886513
"ул. Генерации, д. 375",55.710703,37.46397
"ул. Генерации, д. 376",55.550609,37.681187
"ул. Генерации, д. 377",55.635517,37.491936
"ул. Генерации, д. 378",55.535084,37.619864
"ул. Генерации, д. 379",55.58963,37.633526
"ул. Генерации, д. 380",55.804647,37.693148
"ул. Генерации, д. 381",55.592722,37.37783
"ул. Генерации, д. 382",55.85377,37.343768
"ул. Генерации, д. 383",55.651025,37.882468
"ул. Генерации, д. 384",55.88072,37.549401
"ул. Генерации, д. 385",55.892441,37.508078
"ул. Генерации, д. 386",55.734841,37.527511
"ул. Генерации, д. 387",55.501293,37.716364
"ул. Генерации, д. 388",55.671589,37.412378
"ул. Генерации, д. 389",55.869394,37.356772
"ул. Генерации, д. 390",55.763281,37.790817
"ул. Генерации, д. 391",55.54414,37.758153
"ул. Генерации, д. 392",55.648341,37.419749
"ул. Генерации, д. 393",55.747694,37.3911
"ул. Генерации, д. 394",55.645079,37.571791
"ул. Генерации, д. 395",55.632398,37.710776
"ул. Генерации, д. 396",55.697957,37.729295
"ул. Генерации, д. 397",55.782812,37.687051
"ул. Генерации, д. 398",55.871088,37.823629
"ул. Генерации, д. 399",55.800739,37.411278
"ул. Генерации, д. 400",55.842749,37.422309
"ул. Генерации, д. 401",55.839991,37.5453
"ул. Генерации, д. 402",55.720757,37.810196
"ул. Генерации, д. 403",55.839109,37.838903
"ул. Генерации, д. 404",55.850882,37.352395
"ул. Генерации, д. 405",55.576438,37.722585
"ул. Генерации, д. 406",55.83166,37.735088
"ул. Генерации, д. 407",55.896185,37.435
"ул. Генерации, д. 408",55.750128,37.745529
"ул. Генерации, д. 409",55.84879,37.731835
"ул. Генерации, д. 410",55.859149,37.711306
"ул. Генерации, д. 411",55.866206,37.358791
"ул. Генерации, д. 412",55.547384,37.863886
"ул. Генерации, д. 413",55.72709,37.631632
"ул. Генерации, д. 414",55.840799,37.418117
"ул. Генерации, д. 415",55.616311,37.613401
"ул. Генерации, д. 416",55.570889,37.49981
"ул. Генерации, д. 417",55.737953,37.899497
"ул. Генерации, д. 418",55.675331,37.523761
"ул. Генерации, д. 419",55.627905,37.381821
"ул. Генерации, д. 420",55.655845,37.800198
"ул. Генерации, д. 421",55.679045,37.485523
"ул. Генерации, д. 422",55.650943,37.777287
"ул. Генерации, д. 423",55.67961,37.649156
"ул. Генерации, д. 424",55.716536,37.842134
"ул. Генерации, д. 425",55.580966,37.558916
"ул. Генерации, д. 426",55.77602,37.461197
"ул. Генерации, д. 427",55.629794,37.436078
"ул. Генерации, д. 428",55.543664,37.496252
"ул. Генерации, д. 429",55.654508,37.59925
"ул. Генерации, д. 430",55.869415,37.617769
"ул. Генерации, д. 431",55.801239,37.888711
"ул. Генерации, д. 432",55.644287,37.660905
"ул. Генерации, д. 433",55.576069,37.588576
"ул. Генерации, д. 434",55.550936,37.437444
"ул. Генерации, д. 435",55.548661,37.370533
"ул. Генерации, д. 436",55.503685,37.604202
"ул. Генерации, д. 437",55.659913,37.337218
"ул. Генерации, д. 438",55.606802,37.598958
"ул. Генерации, д. 439",55.820826,37.711814
"ул. Генерации, д. 440",55.512472,37.570991
"ул. Генерации, д. 441",55.628032,37.588264
"ул. Генерации, д. 442",55.889062,37.855831
"ул. Генерации, д. 443",55.753906,37.570989
"ул. Генерации, д. 444",55.733611,37.465985
"ул. Генерации, д. 445",55.575153,37.682212
"ул. Генерации, д. 446",55.899725,37.316953
"ул. Генерации, д. 447",55.765478,37.827823
"ул. Генерации, д. 448",55.888913,37.698382
"ул. Генерации, д. 449",55.722113,37.798515
"ул. Генерации, д. 450",55.506851,37.720671
"ул. Генерации, д. 451",55.699947,37.45143
"ул. Генерации, д. 452",55.765954,37.540915
"ул. Генерации, д. 453",55.725978,37.653228
"ул. Генерации, д. 454",55.73303,37.364587
"ул. Генерации, д. 455",55.646917,37.665107
"ул. Генерации, д. 456",55.684194,37.753637
"ул. Генерации, д. 457",55.727324,37.8723
"ул. Генерации, д. 458",55.668834,37.767733
"ул. Генерации, д. 459",55.558341,37.364544
"ул. Генерации, д. 460",55.562141,37.363367
"ул. Генерации, д. 461",55.548476,37.775044
"ул. Генерации, д. 462",55.771215,37.494839
"ул. Генерации, д. 463",55.603178,37.531132
"ул. Генерации, д. 464",55.881765,37.611904
"ул. Генерации, д. 465",55.573047,37.790682
"ул. Генерации, д. 466",55.73158,37.374877
"ул. Генерации, д. 467",55.645661,37.371797
"ул. Генерации, д. 468",55.505767,37.841366
"ул. Генерации, д. 469",55.605171,37.821881
"ул. Генерации, д. 470",55.640989,37.681886
"ул. Генерации, д. 471",55.509733,37.849849
"ул. Генерации, д. 472",55.633972,37.811593
"ул. Генерации, д. 473",55.672077,37.633783
"ул. Генерации, д. 474",55.584388,37.358633
"ул. Генерации, д. 475",55.854747,37.490224
"ул. Генерации, д. 476",55.833982,37.307612
"ул. Генерации, д. 477",55.815665,37.34793
"ул. Генерации, д. 478",55.764535,37.649305
"ул. Генерации, д. 479",55.697823,37.857713
"ул. Генерации, д. 480",55.504009,37.590692
"ул. Генерации, д. 481",55.522877,37.429407
"ул. Генерации, д. 482",55.705393,37.326617
"ул. Генерации, д. 483",55.891337,37.506936
"ул. Генерации, д. 484",55.521522,37.563014
"ул. Генерации, д. 485",55.552047,37.616634
"ул. Генерации, д. 486",55.635621,37.658157
"ул. Генерации, д. 487",55.76647,37.533937
"ул. Генерации, д. 488",55.578656,37.343861
"ул. Генерации, д. 489",55.758383,37.633575
"ул. Генерации, д. 490",55.617466,37.388375
"ул. Генерации, д. 491",55.617193,37.779586
"ул. Генерации, д. 492",55.89883,37.659938
"ул. Генерации, д. 493",55.894045,37.799478
"ул. Генерации, д. 494",55.639036,37.736138
"ул. Генерации, д. 495",55.636037,37.547129
"ул. Генерации, д. 496",55.821907,37.649485
"ул. Генерации, д. 497",55.707974,37.343699
"ул. Генерации, д. 498",55.818789,37.774481
"ул. Генерации, д. 499",55.80676,37.314205
"ул. Генерации, д. 500",55.623205,37.333513
"ул. Генерации, д. 501",55.524919,37.557538
"ул. Генерации, д. 502",55.508097,37.321071
"ул. Генерации, д. 503",55.501838,37.881371
"ул. Генерации, д. 504",55.743764,37.887293
"ул. Генерации, д. 505",55.825227,37.855307
"ул. Генерации, д. 506",55.861004,37.705757
"ул. Генерации, д. 507",55.825766,37.88127
"ул. Генерации, д. 508",55.891921,37.621979
"ул. Генерации, д. 509",55.844546,37.41235
"ул. Генерации, д. 510",55.766617,37.435977
"ул. Генерации, д. 511",55.827104,37.759427
"ул. Генерации, д. 512",55.836218,37.357003
"ул. Генерации, д. 513",55.562901,37.892354
"ул. Генерации, д. 514",55.508451,37.304669
"ул. Генерации, д. 515",55.862474,37.764868
"ул. Генерации, д. 516",55.510066,37.865336
"ул. Генерации, д. 517",55.635336,37.544472
"ул. Генерации, д. 518",55.780863,37.786569
"ул. Генерации, д. 519",55.831421,37.361866
"ул. Генерации, д. 520",55.570921,37.624081
"ул. Генерации, д. 521",55.547576,37.745314
"ул. Генерации, д. 522",55.825672,37.405795
"ул. Генерации, д. 523",55.791306,37.358439
"ул. Генерации, д. 524",55.665133,37.730695
"ул. Генерации, д. 525",55.666168,37.306531
"ул. Генерации, д. 526",55.513125,37.837199
"ул. Генерации, д. 527",55.882988,37.335709
"ул. Генерации, д. 528",55.544666,37.467617
"ул. Генерации, д. 529",55.764296,37.462398
"ул. Генерации, д. 530",55.528643,37.350021
"ул. Генерации, д. 531",55.785736,37.590917
"ул. Генерации, д. 532",55.595918,37.712548
"ул. Генерации, д. 533",55.555822,37.618969
"ул. Генерации, д. 534",55.795827,37.766341
"ул. Генерации, д. 535",55.799229,37.340563
"ул. Генерации, д. 536",55.505543,37.53085
"ул. Генерации, д. 537",55.775551,37.521139
"ул. Генерации, д. 538",55.75067,37.688228
"ул. Генерации, д. 539",55.80495,37.88222
"ул. Генерации, д. 540",55.699827,37.794196
"ул. Генерации, д. 541",55.558672,37.339421
"ул. Генерации, д. 542",55.557812,37.892651
"ул. Генерации, д. 543",55.537743,37.846907
"ул. Генерации, д. 544",55.512599,37.843988
"ул. Генерации, д. 545",55.628571,37.59386
"ул. Генерации, д. 546",55.883126,37.739466
"ул. Генерации, д. 547",55.800247,37.68804
"ул. Генерации, д. 548",55.706535,37.320313
"ул. Генерации, д. 549",55.534639,37.805989
"ул. Генерации, д. 550",55.808116,37.733086
"ул. Генерации, д. 551",55.648119,37.834316
"ул. Генерации, д. 552",55.529666,37.522896
"ул. Генерации, д. 553",55.876893,37.898879
"ул. Генерации, д. 554",55.629497,37.37444
"ул. Генерации, д. 555",55.773248,37.765669
"ул. Генерации, д. 556",55.852926,37.561798
"ул. Генерации, д. 557",55.804543,37.420555
"ул. Генерации, д. 558",55.794205,37.372253
"ул. Генерации, д. 559",55.815527,37.602586
"ул. Генерации, д. 560",55.894941,37.668826
"ул. Генерации, д. 561",55.568618,37.546373
"ул. Генерации, д. 562",55.589171,37.449958
"ул. Генерации, д. 563",55.898003,37.775593
"ул. Генерации, д. 564",55.773401,37.70236
"ул. Генерации, д. 565",55.652699,37.721395
"ул. Генерации, д. 566",55.504622,37.705085
"ул. Генерации, д. 567",55.871661,37.869704
"ул. Генерации, д. 568",55.700495,37.385639
"ул. Генерации, д. 569",55.600211,37.36127
"ул. Генерации, д. 570",55.573346,37.502571
"ул. Генерации, д. 571",55.782403,37.785608
"ул. Генерации, д. 572",55.626546,37.530781
"ул. Генерации, д. 573",55.850538,37.515238
"ул. Генерации, д. 574",55.660381,37.843845
"ул. Генерации, д. 575",55.882089,37.393402
"ул. Генерации, д. 576",55.839152,37.608978
"ул. Генерации, д. 577",55.670232,37.330267
"ул. Генерации, д. 578",55.859546,37.374659
"ул. Генерации, д. 579",55.685217,37.346073
"ул. Генерации, д. 580",55.843723,37.475867
"ул. Генерации, д. 581",55.563918,37.702218
"ул. Генерации, д. 582",55.562102,37.493716
